nama,phone,email,kategori,max_guests
Keluarga Bapak Budi Santoso,081234567890,budi@email.com,keluarga,5
Siti Nurhaliza,082345678901,siti@email.com,teman,2
Ahmad Dhani & Partner,083456789012,ahmad@email.com,kantor,2
Keluarga Dr. Rina Wijaya,084567890123,rina@email.com,keluarga,4
Teman SMA Bandung,085678901234,,teman,3
Doni Pratama,086789012345,doni@email.com,kantor,1
Lisa Andriani & Keluarga,087890123456,lisa@email.com,keluarga,6
Rekan Kerja Divisi IT,088901234567,,kantor,4
Sahabat Kuliah Jakarta,089012345678,sahabat@email.com,teman,3
Keluarga Ibu Sari,081111222333,sari@email.com,keluarga,5
