guest_name,phone,email,guest_category,max_guests
Keluarga Pak Joko Widodo,081234567890,joko@email.com,keluarga,5
Ibu Mega Soekarno,082345678901,mega@email.com,keluarga,4
Bapak Prabowo Subianto,083456789012,prabowo@email.com,kantor,3
Siti Badriah & Partner,084567890123,siti@email.com,teman,2
Ria Ricis,085678901234,ria@email.com,teman,2
Keluarga Raffi Ahmad,086789012345,raffi@email.com,teman,6
Deddy Corbuzier,087890123456,deddy@email.com,kantor,1
Keluarga Anies Baswedan,088901234567,anies@email.com,keluarga,4
Gita Savitri,089012345678,gita@email.com,teman,2
Raditya Dika & Partner,081122334455,radit@email.com,teman,2
@
